source,source_indicator_code,original_title,decision,player_title,reason
FAOSTAT,QCL:'01315:5510,Largest Figs production,approved,Largest figs production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'01315:5312,Largest Figs harvested area,excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01199.90:5510,Largest Cereals n.e.c. production,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21124:5321,"Most Meat of turkeys, fresh or chilled producing animals",excluded,,Technical animal-input count removed.
World Bank,ER.H2O.INTR.K3,Most renewable freshwater,approved,Most renewable freshwater,Retained after full editorial review; quality and provenance gates still apply.
World Bank,IS.AIR.PSGR,Most airline passengers,approved,Most airline passengers,Retained after full editorial review; quality and provenance gates still apply.
FAOSTAT,QCL:'21521:5510,"Largest Pig fat, rendered production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'21641.01:5510,"Largest Rapeseed or canola oil, crude production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'02133:5111,Largest Mules and hinnies stocks,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01699:5412,"Highest Other stimulant, spice and aromatic crops, n.e.c. yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01699:5312,"Largest Other stimulant, spice and aromatic crops, n.e.c. harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01699:5510,"Largest Other stimulant, spice and aromatic crops, n.e.c. production",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01371:5312,"Largest Almonds, in shell harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
FAOSTAT,QCL:'01371:5510,"Largest Almonds, in shell production",approved,Largest almonds production,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21124:5424,"Highest Meat of turkeys, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21118.01:5510,"Largest Horse meat, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'22211:5510,Largest Whole milk powder production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'22212:5510,Largest Skim milk and whey powder production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'02112:5111,Largest Buffalo stocks,approved,Largest buffalo population,"Recognizable, clear measure, and no stronger duplicate."
FAOSTAT,QCL:'21523:5510,Largest Tallow production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'22222.01:5510,"Largest Whole milk, condensed production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'22221.01:5510,"Largest Whole milk, evaporated production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'2166:5510,Largest Coconut oil production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'21691.07:5510,Largest Oil of sesame seed production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure."
FAOSTAT,QCL:'01199.90:5412,Highest Cereals n.e.c. yield,excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01599.10:5412,"Highest Edible roots and tubers with high starch or inulin content, n.e.c., fresh yield",excluded,,Obscure or technical commodity definition removed.
FAOSTAT,QCL:'01599.10:5312,"Largest Edible roots and tubers with high starch or inulin content, n.e.c., fresh harvested area",excluded,,Harvested-area variant removed in favor of production or yield.
