category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
Most cereals n.e.c. produced,FAOSTAT,Crops · QCL:'01199.90:5510,1201,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of turkeys, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21124:5321,1202,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Yams yield,FAOSTAT,Agriculture · QCL:'01540:5412,1203,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Linseed yield,FAOSTAT,Agriculture · QCL:'01441:5412,1204,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Raspberries harvested area,FAOSTAT,Agriculture · QCL:'01353.01:5312,1205,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Raspberries yield,FAOSTAT,Agriculture · QCL:'01353.01:5412,1206,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Triticale harvested area,FAOSTAT,Agriculture · QCL:'01191:5312,1207,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Triticale yield,FAOSTAT,Agriculture · QCL:'01191:5412,1208,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires,World Bank,Environment · EN.GHG.CO2.LU.MT.CE.AR5,1209,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.ZS,1212,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.CN,1213,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.CD,1214,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross national expenditure,World Bank,Economy · NE.DAB.TOTL.KN,1215,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest net foreign assets,World Bank,Economy · FM.AST.NFRG.CN,1216,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest gross national expenditure,World Bank,Economy · NE.DAB.TOTL.KD,1217,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most pig fat, rendered produced",FAOSTAT,Livestock · QCL:'21521:5510,1231,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most rapeseed or canola oil, crude produced",FAOSTAT,Agriculture · QCL:'21641.01:5510,1232,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other stimulant, spice and aromatic crops, n.e.c. yield",FAOSTAT,Crops · QCL:'01699:5412,1234,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other stimulant, spice and aromatic crops, n.e.c. harvested area",FAOSTAT,Crops · QCL:'01699:5312,1235,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other stimulant, spice and aromatic crops, n.e.c. produced",FAOSTAT,Crops · QCL:'01699:5510,1236,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Almonds, in shell harvested area",FAOSTAT,Agriculture · QCL:'01371:5312,1237,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of turkeys, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21124:5424,1239,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most horse meat, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21118.01:5510,1240,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Olives harvested area,FAOSTAT,Agriculture · QCL:'01450:5312,1241,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Cocoa beans yield,FAOSTAT,Crops · QCL:'01640:5412,1242,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cocoa beans harvested area,FAOSTAT,Crops · QCL:'01640:5312,1243,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most cocoa beans produced,FAOSTAT,Crops · QCL:'01640:5510,1244,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw yield",FAOSTAT,Vegetables · QCL:'01652:5412,1245,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Okra yield,FAOSTAT,Agriculture · QCL:'01239.01:5412,1246,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Linseed harvested area,FAOSTAT,Agriculture · QCL:'01441:5312,1247,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Okra harvested area,FAOSTAT,Agriculture · QCL:'01239.01:5312,1248,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most okra produced,FAOSTAT,Agriculture · QCL:'01239.01:5510,1249,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Leeks and other alliaceous vegetables harvested area,FAOSTAT,Vegetables · QCL:'01254:5312,1250,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most linseed produced,FAOSTAT,Agriculture · QCL:'01441:5510,1251,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most triticale produced,FAOSTAT,Agriculture · QCL:'01191:5510,1252,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sour cherries harvested area,FAOSTAT,Agriculture · QCL:'01344.01:5312,1253,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most sour cherries produced,FAOSTAT,Agriculture · QCL:'01344.01:5510,1254,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most large separate land areas,Natural Earth,Geography · most-large-land-areas,1255,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest final consumption expenditure,World Bank,Economy · NE.CON.TOTL.KD.ZG,1256,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest households and NPISHs Final consumption expenditure,World Bank,Economy · NE.CON.PRVT.KD.ZG,1257,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.KN,1258,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross capital formation,World Bank,Economy · NE.GDI.TOTL.KD,1259,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.KD,1260,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest net domestic credit,World Bank,Economy · FM.AST.DOMS.CN,1261,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most whole milk powder produced,FAOSTAT,Dairy · QCL:'22211:5510,1271,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most skim milk and whey powder produced,FAOSTAT,Dairy · QCL:'22212:5510,1272,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw harvested area",FAOSTAT,Vegetables · QCL:'01652:5312,1274,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw produced",FAOSTAT,Vegetables · QCL:'01652:5510,1275,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Yams harvested area,FAOSTAT,Agriculture · QCL:'01540:5312,1276,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most yams produced,FAOSTAT,Agriculture · QCL:'01540:5510,1277,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Horse meat, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21118.01:5417,1278,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most plantains and cooking bananas produced,FAOSTAT,Fruit · QCL:'01313:5510,1279,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Almonds, in shell yield",FAOSTAT,Agriculture · QCL:'01371:5412,1280,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Figs yield,FAOSTAT,Agriculture · QCL:'01315:5412,1281,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Tea leaves yield,FAOSTAT,Crops · QCL:'01620:5412,1282,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Asparagus yield,FAOSTAT,Agriculture · QCL:'01211:5412,1283,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Lentils, dry yield",FAOSTAT,Agriculture · QCL:'01704:5412,1284,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Currants yield,FAOSTAT,Agriculture · QCL:'01351.01:5412,1285,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Blueberries harvested area,FAOSTAT,Agriculture · QCL:'01355.01:5312,1286,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest carbon dioxide (CO2) net fluxes from LULUCF - Deforestation,World Bank,Environment · EN.GHG.CO2.LU.DF.MT.CE.AR5,1288,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest general government final consumption expenditure,World Bank,Economy · NE.CON.GOVT.KD.ZG,1289,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Fastest households and NPISHs Final consumption expenditure per capita growth,World Bank,Economy · NE.CON.PRVT.PC.KD.ZG,1290,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most tallow produced,FAOSTAT,Agriculture · QCL:'21523:5510,1303,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most whole milk, condensed produced",FAOSTAT,Dairy · QCL:'22222.01:5510,1304,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most whole milk, evaporated produced",FAOSTAT,Dairy · QCL:'22221.01:5510,1305,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most olives produced,FAOSTAT,Agriculture · QCL:'01450:5510,1306,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Chick peas, dry yield",FAOSTAT,Agriculture · QCL:'01703:5412,1307,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Plantains and cooking bananas yield,FAOSTAT,Fruit · QCL:'01313:5412,1308,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most asparagus produced,FAOSTAT,Agriculture · QCL:'01211:5510,1309,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Asparagus harvested area,FAOSTAT,Agriculture · QCL:'01211:5312,1310,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most green corn (maize) produced,FAOSTAT,Crops · QCL:'01290.01:5510,1312,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Green corn (maize) yield,FAOSTAT,Crops · QCL:'01290.01:5412,1313,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Green corn (maize) harvested area,FAOSTAT,Crops · QCL:'01290.01:5312,1314,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most pepper (Piper spp.), raw produced",FAOSTAT,Vegetables · QCL:'01651:5510,1315,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Onions and shallots, green yield",FAOSTAT,Vegetables · QCL:'01253.01:5412,1316,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Onions and shallots, green harvested area",FAOSTAT,Vegetables · QCL:'01253.01:5312,1317,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most onions and shallots, green produced",FAOSTAT,Vegetables · QCL:'01253.01:5510,1318,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Lentils, dry harvested area",FAOSTAT,Agriculture · QCL:'01704:5312,1319,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most lentils, dry produced",FAOSTAT,Agriculture · QCL:'01704:5510,1320,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Ginger, raw yield",FAOSTAT,Agriculture · QCL:'01657:5412,1321,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most blueberries produced,FAOSTAT,Agriculture · QCL:'01355.01:5510,1322,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Blueberries yield,FAOSTAT,Agriculture · QCL:'01355.01:5412,1323,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest primary out-of-school rate,UNESCO UIS,Education · ROFST.1.CP,1324,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most coconut oil produced,FAOSTAT,Agriculture · QCL:'2166:5510,1329,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most oil of sesame seed produced,FAOSTAT,Agriculture · QCL:'21691.07:5510,1330,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offals of horses and other equines, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21159.01:5510,1331,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Rabbits and hares stocks,FAOSTAT,Livestock · QCL:'02191:5112,1332,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Plantains and cooking bananas harvested area,FAOSTAT,Fruit · QCL:'01313:5312,1333,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Chick peas, dry harvested area",FAOSTAT,Agriculture · QCL:'01703:5312,1334,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most chick peas, dry produced",FAOSTAT,Agriculture · QCL:'01703:5510,1335,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most taro produced,FAOSTAT,Agriculture · QCL:'01550:5510,1336,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Taro yield,FAOSTAT,Agriculture · QCL:'01550:5412,1337,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Tea leaves harvested area,FAOSTAT,Crops · QCL:'01620:5312,1338,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most game meat, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21170.02:5510,1339,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most tea leaves produced,FAOSTAT,Crops · QCL:'01620:5510,1340,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Pepper (Piper spp.), raw yield",FAOSTAT,Vegetables · QCL:'01651:5412,1341,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Pepper (Piper spp.), raw harvested area",FAOSTAT,Vegetables · QCL:'01651:5312,1342,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Oil palm fruit yield,FAOSTAT,Fruit · QCL:'01491.01:5412,1343,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Currants harvested area,FAOSTAT,Agriculture · QCL:'01351.01:5312,1344,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most currants produced,FAOSTAT,Agriculture · QCL:'01351.01:5510,1345,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Ginger, raw harvested area",FAOSTAT,Agriculture · QCL:'01657:5312,1346,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most ginger, raw produced",FAOSTAT,Agriculture · QCL:'01657:5510,1347,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Olives yield,FAOSTAT,Agriculture · QCL:'01450:5412,1348,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Sour cherries yield,FAOSTAT,Agriculture · QCL:'01344.01:5412,1349,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most cashew nuts, in shell produced",FAOSTAT,Agriculture · QCL:'01372:5510,1350,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most quinces produced,FAOSTAT,Agriculture · QCL:'01342.02:5510,1351,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest secondary-school enrollment,UNESCO UIS,Education · GER.2T3,1357,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest gross fixed capital formation,World Bank,Economy · NE.GDI.FTOT.KD.ZG,1359,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, Total",World Bank,Economy · DC.DAC.TOTL.CD,1365,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, WHO",World Bank,Economy · DT.NFL.WHOL.CD,1370,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest external debt stocks, long-term",World Bank,Economy · DT.DOD.DLXF.CD,1373,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest external debt stocks, public and publicly guaranteed (PPG)",World Bank,Economy · DT.DOD.DPPG.CD,1374,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest external debt stocks, short-term",World Bank,Economy · DT.DOD.DSTC.CD,1375,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest external debt stocks, total",World Bank,Economy · DT.DOD.DECT.CD,1376,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest use of IMF credit,World Bank,Economy · DT.DOD.DIMF.CD,1379,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest Cereals n.e.c. yield,FAOSTAT,Crops · QCL:'01199.90:5412,1380,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most oil of linseed produced,FAOSTAT,Agriculture · QCL:'21691.12:5510,1381,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Taro harvested area,FAOSTAT,Agriculture · QCL:'01550:5312,1382,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of rabbits and hares, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21114:5510,1383,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most beeswax produced,FAOSTAT,Agriculture · QCL:'02960.01:5510,1384,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of rabbits and hares, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21114:5424,1385,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Cow peas, dry yield",FAOSTAT,Agriculture · QCL:'01706:5412,1386,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Cow peas, dry harvested area",FAOSTAT,Agriculture · QCL:'01706:5312,1387,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Hazelnuts, in shell harvested area",FAOSTAT,Agriculture · QCL:'01374:5312,1388,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most hazelnuts, in shell produced",FAOSTAT,Agriculture · QCL:'01374:5510,1389,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of camels, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21117.01:5417,1390,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offals of camels and other camelids, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21159.02:5320,1391,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Fat of camels producing animals,FAOSTAT,Livestock · QCL:'21519.02:5320,1392,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of camels, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21117.01:5510,1393,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of camels, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21117.01:5320,1394,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Dates yield,FAOSTAT,Agriculture · QCL:'01314:5412,1395,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Dates harvested area,FAOSTAT,Agriculture · QCL:'01314:5312,1396,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Other stone fruits harvested area,FAOSTAT,Fruit · QCL:'01349.20:5312,1397,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most dates produced,FAOSTAT,Agriculture · QCL:'01314:5510,1398,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most other stone fruits produced,FAOSTAT,Fruit · QCL:'01349.20:5510,1399,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Quinces yield,FAOSTAT,Agriculture · QCL:'01342.02:5412,1400,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Cashew nuts, in shell harvested area",FAOSTAT,Agriculture · QCL:'01372:5312,1401,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Cashew nuts, in shell yield",FAOSTAT,Agriculture · QCL:'01372:5412,1402,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Hazelnuts, in shell yield",FAOSTAT,Agriculture · QCL:'01374:5412,1403,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest energy use (kg of oil equivalent) per $1,000 GDP",World Bank,Energy · EG.USE.COMM.GD.PP.KD,1406,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest gDP per unit of energy use,World Bank,Energy · EG.GDP.PUSE.KO.PP.KD,1407,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest net ODA received per capita,World Bank,Economy · DT.ODA.ODAT.PC.ZS,1408,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, United States",World Bank,Economy · DC.DAC.USAL.CD,1410,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest debt service on external debt, total",World Bank,Economy · DT.TDS.DECT.CD,1411,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest multilateral debt service,World Bank,Economy · DT.TDS.MLAT.CD,1412,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net financial flows, multilateral",World Bank,Economy · DT.NFL.MLAT.CD,1413,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest Edible roots and tubers with high starch or inulin content, n.e.c., fresh yield",FAOSTAT,Agriculture · QCL:'01599.10:5412,1423,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most oil of maize produced,FAOSTAT,Crops · QCL:'21691.02:5510,1424,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most whey, dry produced",FAOSTAT,Agriculture · QCL:'22130.02:5510,1425,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Oil palm fruit harvested area,FAOSTAT,Fruit · QCL:'01491.01:5312,1426,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of rabbits and hares, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21114:5321,1427,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most oil palm fruit produced,FAOSTAT,Fruit · QCL:'01491.01:5510,1428,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most artichokes produced,FAOSTAT,Agriculture · QCL:'01216:5510,1429,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most cow peas, dry produced",FAOSTAT,Agriculture · QCL:'01706:5510,1430,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most yoghurt produced,FAOSTAT,Agriculture · QCL:'22230.01:5510,1431,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Artichokes harvested area,FAOSTAT,Agriculture · QCL:'01216:5312,1432,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offals of camels and other camelids, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21159.02:5510,1433,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most fat of camels produced,FAOSTAT,Livestock · QCL:'21519.02:5510,1434,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Quinces harvested area,FAOSTAT,Agriculture · QCL:'01342.02:5312,1435,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Lupins harvested area,FAOSTAT,Agriculture · QCL:'01709.02:5312,1436,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most lupins produced,FAOSTAT,Agriculture · QCL:'01709.02:5510,1437,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Natural rubber in primary forms yield,FAOSTAT,Agriculture · QCL:'01950.01:5412,1438,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Natural rubber in primary forms harvested area,FAOSTAT,Agriculture · QCL:'01950.01:5312,1439,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most natural rubber in primary forms produced,FAOSTAT,Agriculture · QCL:'01950.01:5510,1440,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Other stone fruits yield,FAOSTAT,Fruit · QCL:'01349.20:5412,1441,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest education spending share of GDP,UNESCO UIS,Government · XGDP.FSGOV,1442,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest tertiary enrollment,UNESCO UIS,Education · GER.5T8,1443,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest changes in inventories,World Bank,Economy · NE.GDI.STKB.CN,1444,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, European Union institutions",World Bank,Economy · DC.DAC.CECL.CD,1445,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Canada",World Bank,Economy · DC.DAC.CANL.CD,1446,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Japan",World Bank,Economy · DC.DAC.JPNL.CD,1447,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Germany",World Bank,Economy · DC.DAC.DEUL.CD,1448,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest debt service on external debt, public and publicly guaranteed (PPG)",World Bank,Economy · DT.TDS.DPPG.CD,1450,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, official creditors",World Bank,Economy · DT.NFL.OFFT.CD,1451,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Largest sports-equipment exports,UN Comtrade,Trade · 9506,1455,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Edible roots and tubers with high starch or inulin content, n.e.c., fresh harvested area",FAOSTAT,Agriculture · QCL:'01599.10:5312,1471,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
